filepath,label,macro_label,sub_label,fold
battery/battery273.jpg,0,battery,battery,2
battery/battery182.jpg,0,battery,battery,5
battery/battery321.jpg,0,battery,battery,5
battery/battery119.jpg,0,battery,battery,4
battery/battery860.jpg,0,battery,battery,5
battery/battery890.jpg,0,battery,battery,2
battery/battery459.jpg,0,battery,battery,2
battery/battery105.jpg,0,battery,battery,5
battery/battery275.jpg,0,battery,battery,4
battery/battery734.jpg,0,battery,battery,2
battery/battery114.jpg,0,battery,battery,3
battery/battery913.jpg,0,battery,battery,2
battery/battery121.jpg,0,battery,battery,5
battery/battery168.jpg,0,battery,battery,5
battery/battery944.jpg,0,battery,battery,3
battery/battery383.jpg,0,battery,battery,5
battery/battery884.jpg,0,battery,battery,5
battery/battery427.jpg,0,battery,battery,5
battery/battery83.jpg,0,battery,battery,4
battery/battery35.jpg,0,battery,battery,3
battery/battery914.jpg,0,battery,battery,2
battery/battery78.jpg,0,battery,battery,4
battery/battery282.jpg,0,battery,battery,4
battery/battery508.jpg,0,battery,battery,2
battery/battery6.jpg,0,battery,battery,4
battery/battery189.jpg,0,battery,battery,3
battery/battery591.jpg,0,battery,battery,5
battery/battery849.jpg,0,battery,battery,5
battery/battery285.jpg,0,battery,battery,4
battery/battery395.jpg,0,battery,battery,5
battery/battery637.jpg,0,battery,battery,3
battery/battery330.jpg,0,battery,battery,5
battery/battery699.jpg,0,battery,battery,4
battery/battery244.jpg,0,battery,battery,5
battery/battery580.jpg,0,battery,battery,3
battery/battery271.jpg,0,battery,battery,5
battery/battery443.jpg,0,battery,battery,5
battery/battery643.jpg,0,battery,battery,2
battery/battery97.jpg,0,battery,battery,5
battery/battery501.jpg,0,battery,battery,3
battery/battery84.jpg,0,battery,battery,5
battery/battery227.jpg,0,battery,battery,4
battery/battery373.jpg,0,battery,battery,2
battery/battery387.jpg,0,battery,battery,3
battery/battery790.jpg,0,battery,battery,5
battery/battery270.jpg,0,battery,battery,4
battery/battery88.jpg,0,battery,battery,3
battery/battery713.jpg,0,battery,battery,5
battery/battery394.jpg,0,battery,battery,4
battery/battery148.jpg,0,battery,battery,2
battery/battery357.jpg,0,battery,battery,3
battery/battery226.jpg,0,battery,battery,5
battery/battery692.jpg,0,battery,battery,2
battery/battery792.jpg,0,battery,battery,4
battery/battery800.jpg,0,battery,battery,4
battery/battery605.jpg,0,battery,battery,3
battery/battery405.jpg,0,battery,battery,5
battery/battery64.jpg,0,battery,battery,3
battery/battery336.jpg,0,battery,battery,5
battery/battery349.jpg,0,battery,battery,2
battery/battery471.jpg,0,battery,battery,3
battery/battery324.jpg,0,battery,battery,3
battery/battery509.jpg,0,battery,battery,5
battery/battery401.jpg,0,battery,battery,2
battery/battery231.jpg,0,battery,battery,5
battery/battery617.jpg,0,battery,battery,2
battery/battery902.jpg,0,battery,battery,5
battery/battery431.jpg,0,battery,battery,5
battery/battery819.jpg,0,battery,battery,3
battery/battery400.jpg,0,battery,battery,5
battery/battery687.jpg,0,battery,battery,4
battery/battery63.jpg,0,battery,battery,4
battery/battery46.jpg,0,battery,battery,4
battery/battery12.jpg,0,battery,battery,5
battery/battery398.jpg,0,battery,battery,3
battery/battery53.jpg,0,battery,battery,4
battery/battery126.jpg,0,battery,battery,2
battery/battery199.jpg,0,battery,battery,3
battery/battery445.jpg,0,battery,battery,4
battery/battery682.jpg,0,battery,battery,5
battery/battery725.jpg,0,battery,battery,4
battery/battery618.jpg,0,battery,battery,3
battery/battery494.jpg,0,battery,battery,2
battery/battery639.jpg,0,battery,battery,4
battery/battery176.jpg,0,battery,battery,3
battery/battery320.jpg,0,battery,battery,4
battery/battery865.jpg,0,battery,battery,5
battery/battery769.jpg,0,battery,battery,2
battery/battery733.jpg,0,battery,battery,4
battery/battery833.jpg,0,battery,battery,3
battery/battery257.jpg,0,battery,battery,3
battery/battery910.jpg,0,battery,battery,4
battery/battery813.jpg,0,battery,battery,2
battery/battery597.jpg,0,battery,battery,5
battery/battery164.jpg,0,battery,battery,4
battery/battery467.jpg,0,battery,battery,2
battery/battery30.jpg,0,battery,battery,2
battery/battery234.jpg,0,battery,battery,4
battery/battery612.jpg,0,battery,battery,2
battery/battery194.jpg,0,battery,battery,2
battery/battery678.jpg,0,battery,battery,2
battery/battery640.jpg,0,battery,battery,5
battery/battery475.jpg,0,battery,battery,5
battery/battery688.jpg,0,battery,battery,5
battery/battery167.jpg,0,battery,battery,2
battery/battery379.jpg,0,battery,battery,3
battery/battery616.jpg,0,battery,battery,3
battery/battery838.jpg,0,battery,battery,2
battery/battery905.jpg,0,battery,battery,3
battery/battery863.jpg,0,battery,battery,4
battery/battery850.jpg,0,battery,battery,3
battery/battery550.jpg,0,battery,battery,2
battery/battery241.jpg,0,battery,battery,3
battery/battery26.jpg,0,battery,battery,2
battery/battery306.jpg,0,battery,battery,4
battery/battery598.jpg,0,battery,battery,3
battery/battery98.jpg,0,battery,battery,5
battery/battery329.jpg,0,battery,battery,5
battery/battery186.jpg,0,battery,battery,2
battery/battery27.jpg,0,battery,battery,5
battery/battery656.jpg,0,battery,battery,5
battery/battery517.jpg,0,battery,battery,5
battery/battery578.jpg,0,battery,battery,4
battery/battery933.jpg,0,battery,battery,5
battery/battery268.jpg,0,battery,battery,2
battery/battery256.jpg,0,battery,battery,4
battery/battery903.jpg,0,battery,battery,5
battery/battery628.jpg,0,battery,battery,2
battery/battery930.jpg,0,battery,battery,2
battery/battery210.jpg,0,battery,battery,4
battery/battery558.jpg,0,battery,battery,4
battery/battery174.jpg,0,battery,battery,5
battery/battery175.jpg,0,battery,battery,3
battery/battery736.jpg,0,battery,battery,5
battery/battery889.jpg,0,battery,battery,3
battery/battery647.jpg,0,battery,battery,4
battery/battery808.jpg,0,battery,battery,4
battery/battery276.jpg,0,battery,battery,5
battery/battery886.jpg,0,battery,battery,2
battery/battery181.jpg,0,battery,battery,5
battery/battery854.jpg,0,battery,battery,5
battery/battery361.jpg,0,battery,battery,4
battery/battery3.jpg,0,battery,battery,3
battery/battery708.jpg,0,battery,battery,5
battery/battery267.jpg,0,battery,battery,4
battery/battery112.jpg,0,battery,battery,2
battery/battery499.jpg,0,battery,battery,5
battery/battery888.jpg,0,battery,battery,5
battery/battery338.jpg,0,battery,battery,5
battery/battery173.jpg,0,battery,battery,5
battery/battery48.jpg,0,battery,battery,3
battery/battery305.jpg,0,battery,battery,3
battery/battery169.jpg,0,battery,battery,4
battery/battery269.jpg,0,battery,battery,2
battery/battery536.jpg,0,battery,battery,5
battery/battery183.jpg,0,battery,battery,4
battery/battery479.jpg,0,battery,battery,2
battery/battery289.jpg,0,battery,battery,4
battery/battery404.jpg,0,battery,battery,4
battery/battery219.jpg,0,battery,battery,4
battery/battery49.jpg,0,battery,battery,3
battery/battery36.jpg,0,battery,battery,2
battery/battery826.jpg,0,battery,battery,5
battery/battery576.jpg,0,battery,battery,5
battery/battery690.jpg,0,battery,battery,2
battery/battery251.jpg,0,battery,battery,5
battery/battery466.jpg,0,battery,battery,3
battery/battery279.jpg,0,battery,battery,3
battery/battery880.jpg,0,battery,battery,4
battery/battery184.jpg,0,battery,battery,2
battery/battery38.jpg,0,battery,battery,2
battery/battery455.jpg,0,battery,battery,5
battery/battery843.jpg,0,battery,battery,2
battery/battery454.jpg,0,battery,battery,5
battery/battery599.jpg,0,battery,battery,4
battery/battery726.jpg,0,battery,battery,2
battery/battery41.jpg,0,battery,battery,3
