filepath,label,macro_label,sub_label,split
battery/battery273.jpg,0,battery,battery,train
battery/battery182.jpg,0,battery,battery,train
battery/battery321.jpg,0,battery,battery,train
battery/battery119.jpg,0,battery,battery,train
battery/battery860.jpg,0,battery,battery,train
battery/battery890.jpg,0,battery,battery,train
battery/battery459.jpg,0,battery,battery,train
battery/battery105.jpg,0,battery,battery,train
battery/battery275.jpg,0,battery,battery,train
battery/battery734.jpg,0,battery,battery,train
battery/battery114.jpg,0,battery,battery,train
battery/battery913.jpg,0,battery,battery,train
battery/battery121.jpg,0,battery,battery,train
battery/battery168.jpg,0,battery,battery,train
battery/battery944.jpg,0,battery,battery,train
battery/battery383.jpg,0,battery,battery,train
battery/battery884.jpg,0,battery,battery,train
battery/battery427.jpg,0,battery,battery,train
battery/battery83.jpg,0,battery,battery,train
battery/battery35.jpg,0,battery,battery,train
battery/battery914.jpg,0,battery,battery,train
battery/battery78.jpg,0,battery,battery,train
battery/battery282.jpg,0,battery,battery,train
battery/battery508.jpg,0,battery,battery,train
battery/battery6.jpg,0,battery,battery,train
battery/battery189.jpg,0,battery,battery,train
battery/battery591.jpg,0,battery,battery,train
battery/battery849.jpg,0,battery,battery,train
battery/battery285.jpg,0,battery,battery,train
battery/battery395.jpg,0,battery,battery,train
battery/battery637.jpg,0,battery,battery,train
battery/battery330.jpg,0,battery,battery,train
battery/battery699.jpg,0,battery,battery,train
battery/battery244.jpg,0,battery,battery,train
battery/battery580.jpg,0,battery,battery,train
battery/battery271.jpg,0,battery,battery,train
battery/battery443.jpg,0,battery,battery,train
battery/battery643.jpg,0,battery,battery,train
battery/battery97.jpg,0,battery,battery,train
battery/battery501.jpg,0,battery,battery,train
battery/battery84.jpg,0,battery,battery,train
battery/battery227.jpg,0,battery,battery,train
battery/battery373.jpg,0,battery,battery,train
battery/battery387.jpg,0,battery,battery,train
battery/battery790.jpg,0,battery,battery,train
battery/battery270.jpg,0,battery,battery,train
battery/battery88.jpg,0,battery,battery,train
battery/battery713.jpg,0,battery,battery,train
battery/battery394.jpg,0,battery,battery,train
battery/battery148.jpg,0,battery,battery,train
battery/battery357.jpg,0,battery,battery,train
battery/battery226.jpg,0,battery,battery,train
battery/battery692.jpg,0,battery,battery,train
battery/battery792.jpg,0,battery,battery,train
battery/battery800.jpg,0,battery,battery,train
battery/battery605.jpg,0,battery,battery,train
battery/battery405.jpg,0,battery,battery,train
battery/battery64.jpg,0,battery,battery,train
battery/battery336.jpg,0,battery,battery,train
battery/battery349.jpg,0,battery,battery,train
battery/battery471.jpg,0,battery,battery,train
